Kå€¼,False,True
10,17.85738807979068,17.85499690370796
11,17.849845249026426,17.84765837293459
12,17.838726621544495,17.836575001513296
13,17.8351227943853,17.832047309182453
14,17.829007131871048,17.82587133175782
15,17.826180901179743,17.822375479775367
16,17.824856281485634,17.82134080748577
17,17.827594552022457,17.82398679512059
18,17.82734344508394,17.823390454716932
19,17.831248846214525,17.82704214780632
20,17.830162131110114,17.82583415325151
21,17.827977765819025,17.823600831331
22,17.82928567284267,17.824913400909672
23,17.826345627783088,17.82187468516874
24,17.826899549863864,17.822176168737116
25,17.82422059007793,17.819701532248004
26,17.824641087357,17.819077752870196
27,17.82504188046673,17.818835565244708
28,17.825804934865328,17.819356259205144
29,17.825685543343543,17.819041015072344
30,17.82642856687325,17.819163697041887
